year,prefecture_code,prefecture_name,sma_code,sma_name,reporting_facilities,facilities_with_observed_online_use,facilities_with_suppressed_online_component,observed_online_patient_days,top1_share_observed_pct,top2_share_observed_pct,top5_share_observed_pct,hhi_observed,ndb_sma_name,online_primary_count,online_primary_missing_components,facility_report_to_ndb_ratio
2022,44,大分県,4409,北部,46.0,1.0,1.0,1896.0,100.0,100.0,100.0,10000.0,北部,0.0,2,inf
2022,23,愛知県,2305,尾張西部,41.0,4.0,1.0,1732.0,92.6674364896074,97.92147806004618,100.0,8617.258879187579,尾張西部,1786.0,1,0.9697648376259799
2022,43,熊本県,4309,芦北,19.0,1.0,1.0,1681.0,100.0,100.0,100.0,10000.0,芦北,1658.0,1,1.0138721351025333
2022,38,愛媛県,3804,松山,111.0,4.0,6.0,1666.0,47.65906362545018,66.20648259303722,100.0,3186.799329575768,松山,2790.0,0,0.5971326164874552
2022,28,兵庫県,2801,神戸,136.0,6.0,5.0,1608.0,38.61940298507462,57.83582089552238,98.6318407960199,2454.7505012252172,神戸,13595.0,0,0.11827877896285399
2022,38,愛媛県,3803,今治,43.0,4.0,1.0,1584.0,60.47979797979798,97.47474747474747,100.0,5029.90766248342,今治,561.0,1,2.823529411764706
2022,36,徳島県,3601,東部,117.0,5.0,6.0,1575.0,83.17460317460318,90.60317460317461,100.0,7022.7906273620565,東部,468.0,1,3.3653846153846154
2022,46,鹿児島県,4609,曽於,14.0,1.0,0.0,1512.0,100.0,100.0,100.0,10000.0,曽於,1536.0,0,0.984375
2022,35,山口県,3506,下関,46.0,3.0,0.0,1411.0,64.84762579730688,95.74769666902905,100.0,5178.11103504358,下関,532.0,1,2.6522556390977443
2022,21,岐阜県,2101,岐阜,88.0,8.0,4.0,1301.0,46.11837048424289,80.16910069177555,97.07916986933128,3453.23558239656,岐阜,3372.0,0,0.3858244365361803
2022,34,広島県,3403,呉,37.0,4.0,0.0,1298.0,78.5824345146379,96.45608628659475,100.0,6501.705836405896,呉,250.0,0,5.192
2022,23,愛知県,2307,知多半島,35.0,2.0,2.0,1242.0,71.98067632850241,100.0,100.0,5966.300263716773,知多半島,1366.0,1,0.9092240117130308
2022,02,青森県,0205,上十三地域,21.0,1.0,0.0,1196.0,100.0,100.0,100.0,10000.0,上十三地域,0.0,0,inf
2022,22,静岡県,2205,静岡,43.0,2.0,1.0,1087.0,58.693652253909846,100.0,100.0,5151.1591790238235,静岡,6450.0,0,0.16852713178294573
2022,13,東京都,1309,南多摩,86.0,4.0,6.0,987.0,76.59574468085107,96.85916919959473,100.0,6282.698381902934,南多摩,5891.0,0,0.16754371074520455
2022,14,神奈川県,1406,横須賀・三浦,42.0,2.0,2.0,971.0,90.83419155509783,100.0,100.0,8334.862399916847,横須賀・三浦,5321.0,0,0.18248449539560233
2022,40,福岡県,4012,北九州,160.0,1.0,3.0,929.0,100.0,100.0,100.0,10000.0,北九州,1614.0,1,0.5755885997521685
2022,45,宮崎県,4503,延岡西臼杵,29.0,2.0,2.0,888.0,94.93243243243244,100.0,100.0,9037.846968590213,延岡西臼杵,0.0,2,inf
2022,39,高知県,3902,中央,118.0,3.0,1.0,875.0,73.6,95.65714285714286,100.0,5922.337959183672,中央,841.0,0,1.0404280618311534
2022,34,広島県,3401,広島,151.0,7.0,6.0,870.0,55.86206896551724,70.0,95.74712643678161,3601.3740256308633,広島,5282.0,0,0.16471033699356305
2022,23,愛知県,2304,尾張東部,31.0,3.0,2.0,865.0,72.60115606936417,87.97687861271676,100.0,5651.896154231681,尾張東部,211.0,0,4.099526066350711
2022,37,香川県,3706,東部,85.0,2.0,1.0,823.0,98.42041312272175,100.0,100.0,9689.07281395009,東部,218.0,1,3.7752293577981653
2022,41,佐賀県,4105,南部,53.0,2.0,1.0,810.0,98.14814814814815,100.0,100.0,9636.488340192045,南部,1884.0,1,0.4299363057324841
2022,32,島根県,3204,大田,8.0,1.0,1.0,794.0,100.0,100.0,100.0,10000.0,大田,967.0,0,0.8210961737331954
2022,08,茨城県,0803,常陸太田・ひたちなか,41.0,3.0,0.0,784.0,89.28571428571429,95.91836734693878,100.0,8032.59058725531,常陸太田・ひたちなか,209.0,0,3.751196172248804
2022,40,福岡県,4001,福岡・糸島,228.0,8.0,12.0,726.0,48.760330578512395,62.121212121212125,93.38842975206612,2923.6011504982202,福岡・糸島,7399.0,1,0.09812136775239898
2022,14,神奈川県,1410,相模原,39.0,3.0,0.0,704.0,87.92613636363636,97.86931818181819,100.0,7834.412125516529,相模原,9097.0,0,0.0773881499395405
2022,12,千葉県,1203,東葛北部,67.0,3.0,4.0,676.0,70.26627218934911,94.8224852071006,100.0,5567.163264591576,東葛北部,8450.0,0,0.08
2022,37,香川県,3707,西部,61.0,2.0,0.0,656.0,97.5609756097561,100.0,100.0,9524.092801903627,西部,203.0,1,3.231527093596059
2022,01,北海道,0110,東胆振,21.0,1.0,2.0,654.0,100.0,100.0,100.0,10000.0,東胆振,0.0,2,inf
2022,16,富山県,1602,富山,59.0,4.0,4.0,652.0,91.41104294478528,94.93865030674847,100.0,8382.65459746321,富山,1298.0,0,0.50231124807396
2022,02,青森県,0206,下北地域,7.0,1.0,0.0,644.0,100.0,100.0,100.0,10000.0,下北地域,0.0,0,inf
